설치장소(도로명),경도,위도
서대문구 문화촌1길40,126.9515392,37.5921203
서대문구 세검정로4길91,126.9521652,37.5918916
서대문구 세검정로4길112,126.9525261,37.591183
서대문구 세검정로4길130,126.9532155,37.5904683
서대문구 세검정로4길51,126.9505933,37.5933553
서대문구 세검정로4다길14,126.9507094,37.5939601
서대문구 세무서길106-39,126.9479341,37.5924216
서대문구 세무서10길28,126.9487384,37.5915908
서대문구 세무서10길56,126.9478444,37.5907539
서대문구 세무서7길12-6,126.9465082,37.5915619
서대문구 간호대로1길52,126.9476796,37.5944106
서대문구 통일로40길37,126.9445818,37.5908599
서대문구 통일로40길28,126.9442948,37.5903348
서대문구 세무서3길25,126.9445254,37.5900395
서대문구 세무서길27,126.9454303,37.5893087
서대문구 통일로48나길14,126.940746,37.5962588
서대문구 통일로48가길13,126.9412073,37.5948663
서대문구 통일로48가길37,126.9420675,37.5949011
서대문구 세검정로1길71,126.9452317,37.5937491
서대문구 세검정로1길129,126.9462414,37.5960287
서대문구 세검정로1길95,126.9448914,37.5953949
서대문구 홍은중앙로3길22,126.9460376,37.5984326
서대문구 홍은중앙로5길64,126.9457927,37.6005388
서대문구 홍은중앙로9길15,126.9479633,37.5999995
서대문구 홍은중앙로9길25,126.9483407,37.6005435
서대문구 홍은중앙로9길88,126.9477964,37.6030075
서대문구 홍은중앙로9나길50,126.9470216,37.6017301
서대문구 홍은중앙로11길7,126.9487504,37.6012049
서대문구 홍은중앙로124-1,126.9495726,37.6015276
서대문구 홍은중앙로125,126.9490865,37.6014602
서대문구 홍은중앙로161-2,126.9497202,37.6047186
서대문구 홍은중앙로161-1,126.9496425,37.6046098
서대문구 홍은중앙로171,126.949755,37.6054667
서대문구 포방터길149,126.9500808,37.6032351
서대문구 포방터길143,126.9499921,37.6030991
서대문구 포방터길116,126.9498405,37.6018003
서대문구 포방터길99,126.9495783,37.6011222
서대문구 포방터8길4,126.949701,37.6004475
서대문구 포방터8길8,126.9499281,37.6004045
서대문구 포방터2가길5,126.9496183,37.5990772
서대문구 포방터2다길11,126.9505944,37.5989237
서대문구 포방터2길56,126.950802,37.5970424
서대문구 포방터2길71,126.951128,37.5964056
서대문구 포방터2길77-2,126.9513814,37.5961015
서대문구 포방터2길95,126.9520942,37.5961438
서대문구 홍은중앙로81,126.9466832,37.5984203
서대문구 홍지문길31,126.9556125,37.5972022
서대문구 홍지문2길43,126.956003,37.5976201
서대문구 홍지문2길23,126.9557883,37.5967803
서대문구 홍지문길6,126.9548846,37.5966191
서대문구 연희로41가길3,126.9351503,37.5900184
서대문구 연희로41가길11-29,126.934537,37.590148
서대문구 연희로41가길17,126.9344779,37.5903186
서대문구 연희로41길69-28,126.9341138,37.5912344
서대문구 연희로41나길1,126.9335388,37.5918599
서대문구 연희로41나길6,126.9338774,37.5919351
